,sequence,alpha,n_failures
0,basketball,0.0,1
1,basketball,0.1,3
2,basketball,0.3,4
3,basketball,0.5,8
4,basketball,0.8,11
5,basketball,1.0,9
6,bicycle,0.0,1
7,bicycle,0.1,0
8,bicycle,0.3,2
9,bicycle,0.5,3
10,bicycle,0.8,2
11,bicycle,1.0,5
12,fish1,0.0,4
13,fish1,0.1,9
14,fish1,0.3,12
15,fish1,0.5,10
16,fish1,0.8,8
17,fish1,1.0,11
18,sphere,0.0,2
19,sphere,0.1,2
20,sphere,0.3,1
21,sphere,0.5,4
22,sphere,0.8,4
23,sphere,1.0,4
24,surfing,0.0,5
25,surfing,0.1,5
26,surfing,0.3,9
27,surfing,0.5,7
28,surfing,0.8,7
29,surfing,1.0,8
